"filename", "language", "Groovy", "YAML", "Dockerfile", "JSON", "Markdown", "Batch", "HTML", "JavaScript", "CSS", "Properties", "XML", "SQL", "Java", "comment", "blank", "total"
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\audit\UniverseAbstractAuditServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 5, 16, 69
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\audit\UniverseAuditRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 7, 24
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\audit\UniverseAuditService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 6, 21
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\web\UniverseAuditController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 6, 10, 62
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\universe\web\UniverseController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 4, 17, 74
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\Password.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 6, 19, 72
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\QDDTUserDetails.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 15, 16, 82
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\QDDTUserDetailsService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 14, 52
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 4, 50, 212
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\UserRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 10, 40
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 10, 30
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\UserServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 4, 36, 159
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\json\UserJson.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 3, 23, 87
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\json\UserJsonEdit.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 3, 31, 120
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\user\web\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 4, 17, 78
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\xml\AbstractXmlBuilder.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 6, 29, 124
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\xml\Html5Tags.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 3, 7, 48
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\xml\XmlDDICommentsBuilder.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 5, 11, 37
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\xml\XmlDDIFragmentAssembler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 4, 15, 76
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\xml\XmlDDIFragmentBuilder.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 15, 52
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\domain\xml\XmlDDIInstanceBuilder.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 15, 54
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\ControllerAdviceExceptionMessage.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 8, 13, 64
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\DescendantsArchivedException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\FileDownloadException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 5, 18
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\FileNotOwnedException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 6, 18
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\FileUploadException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 5, 18
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\InvalidObjectException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 5, 19
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\InvalidPasswordException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\ReferenceInUseException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\RequestAbortedException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 7, 25
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\ResourceNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 10, 35
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\StackTraceFilter.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 3, 9, 38
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\UserAlreadyExistsException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\UserNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 7, 27
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\exception\package-info.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 4
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\jsonviews\View.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 3, 15
"c:\Users\sno.NSD\IdeaProjects\qddt-service\src\main\java\no\nsd\qddt\security\JwtAuthenticationEntryPoint.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 6, 23
